Address,Full_Address,Total_Staked,Status,Time_Score,Holding_Days,First_Stake,Stake_Count,Unstake_Count,Is_Active,Rank,Alias
0x7e3e**2a2ecd**1e62d5,0x7e3e2a2ecdcddbc1c2e8a589d7adbc17c01e62d5,1717908.4313,VIRGEN,904983.82,0.5,2025-06-01 16:11,1,0,True,1,VIRGEN#0001
0xf7ce**f5d46d**0971fe,0xf7cef5d46da58cfb8e2e4ea0ae827b30490971fe,1462446.3389,VIRGEN,856902.15,0.6,2025-06-01 14:46,1,0,True,2,VIRGEN#0002
0x112e**c3b862**ee6a2d,0x112ec3b862ab061609ef01d308109a6691ee6a2d,515452.2126,VIRGEN,555477.32,1.1,2025-06-01 02:58,1,0,True,3,VIRGEN#0003
0x5668**a3aeea**7580fa,0x5668a3aeea8534ddf32d93f04d8081a6db7580fa,471655.8762,VIRGEN,156852.87,0.3,2025-06-01 20:51,1,0,True,4,VIRGEN#0004
0x0000**00bf8f**e919df,0x000000bf8f2f15e9d390003dca2f0bda35e919df,456962.8532,VIRGEN,493504.01,1.1,2025-06-01 02:55,1,0,True,5,VIRGEN#0005
0x0000**0005e1**7bccb0,0x00000005e1c491b1237a72e92c446ad96b7bccb0,437056.6897,VIRGEN,473948.52,1.1,2025-06-01 02:48,1,0,True,6,VIRGEN#0006
0xe2dd**8f3aff**576ab6,0xe2dd8f3aff55b01a27cdd076ec59a66c17576ab6,204113.4816,VIRGEN,224120.86,1.1,2025-06-01 02:29,1,0,True,7,VIRGEN#0007
0x8885**55ef08**01b8f2,0x888555ef0817eefb69e78fb2a6cfc42d2e01b8f2,199534.701,VIRGEN,219892.32,1.1,2025-06-01 02:23,1,0,True,8,VIRGEN#0008
0x6213**831c00**c1c84b,0x6213831c00fb3bc1138573e9f2c37e50ecc1c84b,195428.8135,VIRGEN,214978.48,1.1,2025-06-01 02:26,1,0,True,9,VIRGEN#0009
0x73b2**82100d**31b1ae,0x73b282100dc874a625f7a35052ab12cd6e31b1ae,183282.1317,VIRGEN,185206.17,1.0,2025-06-01 04:35,1,0,True,10,VIRGEN#0010
0xfd02**8ab5c1**305bea,0xfd028ab5c18b15c06a3d0283f95c5dd436305bea,145825.0033,VIRGEN,84664.58,0.6,2025-06-01 14:54,2,0,True,11,VIRGEN#0011
0xa2f8**bf9db4**41e6a9,0xa2f8bf9db44b786e1ec23dafe8e50ef85e41e6a9,112100.5923,VIRGEN,51894.53,0.5,2025-06-01 17:43,1,0,True,12,VIRGEN#0012
0x56d5**321305**6c0331,0x56d5321305256ed61f7c6f2c4dadf4bf2c6c0331,105400.0,VIRGEN,25258.18,0.2,2025-06-01 23:05,1,0,True,13,VIRGEN#0013
0xd020**26d745**aafcf4,0xd02026d745cd91ea5dfda77257ff23fd50aafcf4,77850.0256,VIRGEN,48765.29,0.6,2025-06-01 13:48,1,0,True,14,VIRGEN#0014
0x27a5**f76541**0bf3f6,0x27a5f7654120bae7c3fd393346299874c50bf3f6,74577.1782,VIRGEN,28991.01,0.4,2025-06-01 19:30,1,0,True,15,VIRGEN#0015
0xc100**af6138**bbdd93,0xc100af61380e6a36bbca9107dcfaf8d298bbdd93,74459.3903,VIRGEN,27687.0,0.4,2025-06-01 19:54,2,0,True,16,VIRGEN#0016
0x090c**f4820e**18bdbd,0x090cf4820e65b06d05cbf65df43bdd502d18bdbd,71384.5261,VIRGEN,38016.39,0.5,2025-06-01 16:03,1,0,True,17,VIRGEN#0017
0xd568**94116d**fadee3,0xd56894116d07e626b248a9f035e51c028afadee3,39040.7409,VIRGEN,42459.97,1.1,2025-06-01 02:44,1,0,True,18,VIRGEN#0018
0x1ba7**3b952c**81a79f,0x1ba73b952c17f97b693f598408a41e193381a79f,37977.8408,VIRGEN,29324.26,0.8,2025-06-01 10:18,1,0,True,19,VIRGEN#0019
0xcb33**bae7ee**5126c9,0xcb33bae7ee0aa578291b96866dab2497645126c9,37259.108,VIRGEN,14044.18,0.4,2025-06-01 19:47,2,0,True,20,VIRGEN#0020
0x15df**68d03d**3752a5,0x15df68d03d9c08bcd4d0efbe9bda4276283752a5,37035.2701,VIRGEN,18286.59,0.5,2025-06-01 16:59,1,0,True,21,VIRGEN#0021
0xd35f**8102e9**4fc693,0xd35f8102e9a1a0db93c59ce13d809fc35d4fc693,36648.6453,VIRGEN,35508.04,1.0,2025-06-01 05:34,1,0,True,22,VIRGEN#0022
0xb919**06895c**2f4448,0xb91906895c223421f31e72af0267b131cc2f4448,36615.0129,VIRGEN,14252.31,0.4,2025-06-01 19:29,1,0,True,23,VIRGEN#0023
