Address,Full_Address,Total_Staked,Status,Time_Score,Holding_Days,First_Stake,Stake_Count,Unstake_Count,Is_Active,Total_Transactions,Rank,Alias
0x3ada**63fb34**f8082a,0x3ada63fb349e2de9d64056e2b77cae6a0af8082a,39857.5202,VIRGEN,81402.99,2.0,2025-05-31 03:58,1,0,True,1,129,VIRGEN#0129
0xd568**94116d**fadee3,0xd56894116d07e626b248a9f035e51c028afadee3,39040.7409,VIRGEN,42702.17,1.1,2025-06-01 02:44,1,0,True,1,130,VIRGEN#0130
0xd362**63c59e**688d9f,0xd36263c59e6d464c354f64c27b7be96ac8688d9f,38721.2282,VIRGEN,168120.49,4.3,2025-05-28 20:46,1,0,True,1,131,VIRGEN#0131
0x391d**8af8f7**5e74c1,0x391d8af8f763394d74d329fdfd7138960b5e74c1,38063.0299,VIRGEN,168059.29,4.4,2025-05-28 19:01,1,0,True,1,132,VIRGEN#0132
0xcc6f**3c0676**033c69,0xcc6f3c06768b6ab99e44d0859dea722322033c69,38040.2685,OG,198488.75,5.2,2025-05-27 23:45,1,0,True,1,133,VIRGEN#0133
0x1ba7**3b952c**81a79f,0x1ba73b952c17f97b693f598408a41e193381a79f,37977.8408,VIRGEN,29559.86,0.8,2025-06-01 10:18,1,0,True,1,134,VIRGEN#0134
0xcb33**bae7ee**5126c9,0xcb33bae7ee0aa578291b96866dab2497645126c9,37259.108,VIRGEN,14275.33,0.4,2025-06-01 19:47,2,0,True,2,135,VIRGEN#0135
0x15df**68d03d**3752a5,0x15df68d03d9c08bcd4d0efbe9bda4276283752a5,37035.2701,VIRGEN,18516.35,0.5,2025-06-01 16:59,1,0,True,1,136,VIRGEN#0136
0x852c**1755eb**d5a835,0x852c1755ebdc89dfd588e3a49b85efe984d5a835,36802.7304,VIRGEN,105043.26,2.9,2025-05-30 08:29,1,0,True,1,137,VIRGEN#0137
0xd35f**8102e9**4fc693,0xd35f8102e9a1a0db93c59ce13d809fc35d4fc693,36648.6453,VIRGEN,35735.4,1.0,2025-06-01 05:34,1,0,True,1,138,VIRGEN#0138
0xb919**06895c**2f4448,0xb91906895c223421f31e72af0267b131cc2f4448,36615.0129,VIRGEN,14479.46,0.4,2025-06-01 19:29,1,0,True,1,139,VIRGEN#0139
0x8299**40b341**7ed987,0x829940b3411ad03f00f4aeaa82051562857ed987,36353.0232,VIRGEN,103803.45,2.9,2025-05-30 08:27,2,0,True,2,140,VIRGEN#0140
0x29b2**4dd4bb**33c6d1,0x29b24dd4bb03a8ddfb850a8b76d8c7ac4633c6d1,36328.9789,VIRGEN,39846.25,1.1,2025-06-01 02:39,1,0,True,1,141,VIRGEN#0141
